City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Bredasdorp,ZA,2021-10-09 18:37:09,-34.5322,20.0403,53.28,83,0,1.57
69,Baghdad,IQ,2021-10-09 18:38:27,33.3406,44.4009,78.71,21,0,5.75
70,Kemijarvi,FI,2021-10-09 18:39:10,66.7131,27.4306,44.37,96,100,5.1
71,Juba,SS,2021-10-09 18:39:10,4.8517,31.5825,72.52,81,16,4.65
72,Kissidougou,GN,2021-10-09 18:39:11,9.1848,-10.0999,72.07,93,100,5.55
73,Tahta,EG,2021-10-09 18:39:11,26.7693,31.5021,84.52,28,0,7.05
74,Kielce,PL,2021-10-09 18:39:12,50.8703,20.6275,43.86,1,0,5.93
75,Batticaloa,LK,2021-10-09 18:39:12,7.7102,81.6924,80.71,70,100,7.65
76,Liverpool,GB,2021-10-09 18:39:13,53.4106,-2.9779,61.61,86,75,1.01
77,Krasnovishersk,RU,2021-10-09 18:39:13,60.4078,57.082,34.72,83,98,3.4
78,Ndele,CF,2021-10-09 18:39:14,8.4109,20.6473,78.8,64,100,0.85
79,Bay Roberts,CA,2021-10-09 18:39:14,47.5999,-53.2648,47.05,80,98,8.99
80,Gayeri,BF,2021-10-09 18:39:15,12.6497,0.4931,86.88,46,96,11.36
81,Vila Franca Do Campo,PT,2021-10-09 18:37:48,37.7167,-25.4333,72.01,78,37,8.57
82,Havelock,US,2021-10-09 18:39:16,34.8791,-76.9013,75.43,93,100,11.01
83,Rumonge,BI,2021-10-09 18:39:16,-3.9736,29.4386,79.66,58,100,5.08
84,Constitucion,CL,2021-10-09 18:39:16,-35.3333,-72.4167,59.02,71,19,6.6
85,Makanya,TZ,2021-10-09 18:39:17,-4.3667,37.8333,72.91,70,61,3.98
86,Tazovskiy,RU,2021-10-09 18:39:17,67.4667,78.7,28.45,68,59,15.5
87,Ostrovnoy,RU,2021-10-09 18:39:18,68.0531,39.5131,35.04,97,100,13.96
88,Hofn,IS,2021-10-09 18:37:16,64.2539,-15.2082,47.82,83,100,3.09
89,Thinadhoo,MV,2021-10-09 18:39:18,0.5333,72.9333,83.35,71,100,11.59
90,Den Helder,NL,2021-10-09 18:39:19,52.9599,4.7593,54.01,90,90,5.01
91,Narsaq,GL,2021-10-09 18:36:34,60.9167,-46.05,39.42,61,3,0.72
92,Muhos,FI,2021-10-09 18:39:20,64.808,25.9931,46.18,97,100,5.19
93,Abha,SA,2021-10-09 18:39:21,18.2164,42.5053,71.42,28,0,9.22
94,Purpe,RU,2021-10-09 18:39:21,64.4803,76.6897,29.64,73,100,21.74
95,Keetmanshoop,NA,2021-10-09 18:39:22,-26.5833,18.1333,69.75,15,100,8.23
96,Atar,MR,2021-10-09 18:39:22,20.5169,-13.0499,104.05,15,100,11.5
97,Faya,SA,2021-10-09 18:39:23,18.3851,42.4509,71.71,39,10,11.59
98,Kamina,CD,2021-10-09 18:39:23,-8.7386,24.9906,75.63,31,0,1.14
99,Torres,BR,2021-10-09 18:39:24,-29.3353,-49.7269,66.83,93,100,14.94
100,Martinsicuro,IT,2021-10-09 18:39:24,42.8811,13.9145,59.11,70,100,10.38
101,Arraial Do Cabo,BR,2021-10-09 18:36:49,-22.9661,-42.0278,69.76,68,90,12.66
102,Balakliya,UA,2021-10-09 18:39:26,49.4627,36.8595,49.03,32,100,10.07
103,Hamilton,US,2021-10-09 18:38:35,39.1834,-84.5333,82.22,61,40,1.01
104,Yenagoa,NG,2021-10-09 18:39:28,4.9247,6.2642,75.96,94,100,4.25
105,Illertissen,DE,2021-10-09 18:39:29,48.2234,10.1035,48.78,80,0,4.61
106,Flic En Flac,MU,2021-10-09 18:39:30,-20.2742,57.3631,72.52,78,48,15.73
107,Klaksvik,FO,2021-10-09 18:39:33,62.2266,-6.589,50.92,86,0,19.51
108,Iqaluit,CA,2021-10-09 18:39:33,63.7506,-68.5145,37.13,86,75,4.0
109,Independence,US,2021-10-09 18:39:37,39.0911,-94.4155,88.07,49,1,13.8
110,Warrington,GB,2021-10-09 18:39:38,53.3925,-2.5802,60.91,90,75,1.01
111,Casa Nova,BR,2021-10-09 18:39:38,-9.4167,-41.1333,93.18,30,86,13.44
112,Cartagena,CO,2021-10-09 18:39:39,10.3997,-75.5144,76.62,94,40,3.44
113,Ribeira Grande,PT,2021-10-09 18:39:39,38.5167,-28.7,73.8,73,20,17.27
114,Saint-Prosper,CA,2021-10-09 18:39:40,46.2117,-70.4811,65.32,51,93,6.26
115,Paamiut,GL,2021-10-09 18:39:41,61.994,-49.6678,35.22,51,100,0.87
116,Arivonimamo,MG,2021-10-09 18:39:41,-19.0167,47.1833,57.25,82,83,6.85
117,Bengkulu,ID,2021-10-09 18:39:41,-3.8004,102.2655,77.22,92,25,6.55
118,Bhatkal,IN,2021-10-09 18:39:42,13.9667,74.5667,79.56,86,100,5.79
119,Waling,NP,2021-10-09 18:39:43,27.9833,83.7667,67.91,93,3,2.86
